Angle	Lenght	name	cut_num	cond	Embryo
37.071	512.603	Ntf3_Control_Embryo_1	5	ctrl	1
36.389	547.819	Ntf3_Control_Embryo_1	5	ctrl	1
30.665	525.479	Ntf3_Control_Embryo_1	5	ctrl	1
41.304	592.373	Ntf3_Control_Embryo_1	5	ctrl	1
42.586	604.405	Ntf3_Control_Embryo_1	5	ctrl	1
89.518	950.034	Ntf3_CdM_Embryo_1	5	CdM	1
0.510	562.022	Ntf3_CdM_Embryo_1	5	CdM	1
28.794	149.482	Ntf3_CdM_Embryo_1	5	CdM	1
29.358	165.218	Ntf3_CdM_Embryo_1	5	CdM	1
42.580	200.998	Ntf3_CdM_Embryo_1	5	CdM	1
25.263	196.825	Ntf3_CdM_Embryo_1	5	CdM	1
38.211	239.266	Ntf3_CdM_Embryo_1	5	CdM	1
54.520	230.868	Ntf3_CdM_Embryo_1	5	CdM	1
48.489	232.362	Ntf3_CdM_Embryo_1	5	CdM	1
42.195	245.660	Ntf3_CdM_Embryo_1	5	CdM	1
53.725	289.016	Ntf3_CdM_Embryo_1	5	CdM	1
63.773	303.216	Ntf3_CdM_Embryo_1	5	CdM	1
50.356	318.173	Ntf3_CdM_Embryo_1	5	CdM	1
54.876	354.565	Ntf3_CdM_Embryo_1	5	CdM	1
45.494	328.110	Ntf3_CdM_Embryo_1	5	CdM	1
51.386	394.183	Ntf3_CdM_Embryo_1	5	CdM	1
47.274	392.046	Ntf3_CdM_Embryo_1	5	CdM	1
40.958	331.042	Ntf3_CdM_Embryo_1	5	CdM	1
36.158	386.430	Ntf3_CdM_Embryo_1	5	CdM	1
33.449	395.505	Ntf3_CdM_Embryo_1	5	CdM	1
31.443	410.239	Ntf3_CdM_Embryo_1	5	CdM	1
37.163	430.406	Ntf3_CdM_Embryo_1	5	CdM	1
45.177	458.207	Ntf3_CdM_Embryo_1	5	CdM	1
32.383	449.979	Ntf3_CdM_Embryo_1	5	CdM	1
19.529	430.781	Ntf3_CdM_Embryo_1	5	CdM	1
15.360	430.373	Ntf3_CdM_Embryo_1	5	CdM	1
27.979	471.059	Ntf3_CdM_Embryo_1	5	CdM	1
23.643	473.768	Ntf3_CdM_Embryo_1	5	CdM	1
32.911	489.568	Ntf3_CdM_Embryo_1	5	CdM	1
36.098	475.243	Ntf3_CdM_Embryo_1	5	CdM	1
38.144	485.720	Ntf3_CdM_Embryo_1	5	CdM	1
42.036	519.711	Ntf3_CdM_Embryo_1	5	CdM	1
37.370	527.220	Ntf3_CdM_Embryo_1	5	CdM	1
38.093	552.726	Ntf3_CdM_Embryo_1	5	CdM	1
39.445	569.775	Ntf3_CdM_Embryo_1	5	CdM	1
29.065	543.434	Ntf3_CdM_Embryo_1	5	CdM	1
26.006	549.652	Ntf3_CdM_Embryo_1	5	CdM	1
27.049	582.740	Ntf3_CdM_Embryo_1	5	CdM	1
9.227	480.213	Ntf3_CdM_Embryo_1	5	CdM	1
11.073	520.693	Ntf3_CdM_Embryo_1	5	CdM	1
90.352	976.018	Ntf3_Control_Embryo_1	6	ctrl	1
1.152	547.111	Ntf3_Control_Embryo_1	6	ctrl	1
55.758	143.951	Ntf3_Control_Embryo_1	6	ctrl	1
73.680	231.320	Ntf3_Control_Embryo_1	6	ctrl	1
67.730	226.927	Ntf3_Control_Embryo_1	6	ctrl	1
64.598	242.440	Ntf3_Control_Embryo_1	6	ctrl	1
67.105	272.465	Ntf3_Control_Embryo_1	6	ctrl	1
72.943	276.147	Ntf3_Control_Embryo_1	6	ctrl	1
71.868	298.839	Ntf3_Control_Embryo_1	6	ctrl	1
65.763	297.195	Ntf3_Control_Embryo_1	6	ctrl	1
62.184	327.886	Ntf3_Control_Embryo_1	6	ctrl	1
63.997	364.944	Ntf3_Control_Embryo_1	6	ctrl	1
49.028	301.974	Ntf3_Control_Embryo_1	6	ctrl	1
50.755	366.715	Ntf3_Control_Embryo_1	6	ctrl	1
49.624	385.922	Ntf3_Control_Embryo_1	6	ctrl	1
