Angle	Lenght	name	cut_num	cond	Embryo
71.681	623.602	Ntf3_Control_Embryo_1	2	ctrl	1
76.908	662.212	Ntf3_Control_Embryo_1	2	ctrl	1
77.170	702.539	Ntf3_Control_Embryo_1	2	ctrl	1
77.318	728.780	Ntf3_Control_Embryo_1	2	ctrl	1
75.196	724.034	Ntf3_Control_Embryo_1	2	ctrl	1
68.461	648.269	Ntf3_Control_Embryo_1	2	ctrl	1
68.688	674.099	Ntf3_Control_Embryo_1	2	ctrl	1
66.412	714.717	Ntf3_Control_Embryo_1	2	ctrl	1
64.255	656.130	Ntf3_Control_Embryo_1	2	ctrl	1
61.504	637.194	Ntf3_Control_Embryo_1	2	ctrl	1
59.587	659.786	Ntf3_Control_Embryo_1	2	ctrl	1
57.922	670.343	Ntf3_Control_Embryo_1	2	ctrl	1
54.087	479.067	Ntf3_Control_Embryo_1	2	ctrl	1
55.971	516.435	Ntf3_Control_Embryo_1	2	ctrl	1
57.858	533.816	Ntf3_Control_Embryo_1	2	ctrl	1
58.499	566.485	Ntf3_Control_Embryo_1	2	ctrl	1
59.902	703.911	Ntf3_Control_Embryo_1	2	ctrl	1
61.075	727.786	Ntf3_Control_Embryo_1	2	ctrl	1
63.536	762.948	Ntf3_Control_Embryo_1	2	ctrl	1
63.829	779.959	Ntf3_Control_Embryo_1	2	ctrl	1
60.388	748.800	Ntf3_Control_Embryo_1	2	ctrl	1
64.758	755.098	Ntf3_Control_Embryo_1	2	ctrl	1
87.140	1022.273	Ntf3_CdM_Embryo_1	2	CdM	1
-0.432	531.015	Ntf3_CdM_Embryo_1	2	CdM	1
-8.775	150.765	Ntf3_CdM_Embryo_1	2	CdM	1
-15.092	184.358	Ntf3_CdM_Embryo_1	2	CdM	1
-13.526	218.048	Ntf3_CdM_Embryo_1	2	CdM	1
1.560	257.095	Ntf3_CdM_Embryo_1	2	CdM	1
12.080	262.819	Ntf3_CdM_Embryo_1	2	CdM	1
38.718	155.081	Ntf3_CdM_Embryo_1	2	CdM	1
43.943	191.659	Ntf3_CdM_Embryo_1	2	CdM	1
43.548	251.104	Ntf3_CdM_Embryo_1	2	CdM	1
39.721	261.324	Ntf3_CdM_Embryo_1	2	CdM	1
37.809	305.041	Ntf3_CdM_Embryo_1	2	CdM	1
40.391	325.615	Ntf3_CdM_Embryo_1	2	CdM	1
51.447	333.744	Ntf3_CdM_Embryo_1	2	CdM	1
66.879	290.319	Ntf3_CdM_Embryo_1	2	CdM	1
48.143	425.611	Ntf3_CdM_Embryo_1	2	CdM	1
51.472	476.800	Ntf3_CdM_Embryo_1	2	CdM	1
46.064	533.250	Ntf3_CdM_Embryo_1	2	CdM	1
36.979	420.601	Ntf3_CdM_Embryo_1	2	CdM	1
28.725	439.028	Ntf3_CdM_Embryo_1	2	CdM	1
25.033	434.847	Ntf3_CdM_Embryo_1	2	CdM	1
24.046	488.382	Ntf3_CdM_Embryo_1	2	CdM	1
15.495	419.237	Ntf3_CdM_Embryo_1	2	CdM	1
11.552	324.575	Ntf3_CdM_Embryo_1	2	CdM	1
9.829	333.901	Ntf3_CdM_Embryo_1	2	CdM	1
3.315	328.550	Ntf3_CdM_Embryo_1	2	CdM	1
8.068	391.879	Ntf3_CdM_Embryo_1	2	CdM	1
-6.934	372.726	Ntf3_CdM_Embryo_1	2	CdM	1
-8.858	389.647	Ntf3_CdM_Embryo_1	2	CdM	1
-8.833	449.330	Ntf3_CdM_Embryo_1	2	CdM	1
90.840	1091.117	Ntf3_Control_Embryo_1	3	ctrl	1
-1.216	471.106	Ntf3_Control_Embryo_1	3	ctrl	1
15.362	94.372	Ntf3_Control_Embryo_1	3	ctrl	1
32.276	112.361	Ntf3_Control_Embryo_1	3	ctrl	1
9.224	118.533	Ntf3_Control_Embryo_1	3	ctrl	1
25.710	149.833	Ntf3_Control_Embryo_1	3	ctrl	1
7.853	146.373	Ntf3_Control_Embryo_1	3	ctrl	1
68.009	224.321	Ntf3_Control_Embryo_1	3	ctrl	1
35.134	297.136	Ntf3_Control_Embryo_1	3	ctrl	1
32.005	349.057	Ntf3_Control_Embryo_1	3	ctrl	1
21.708	343.351	Ntf3_Control_Embryo_1	3	ctrl	1
12.285	357.179	Ntf3_Control_Embryo_1	3	ctrl	1
26.153	435.597	Ntf3_Control_Embryo_1	3	ctrl	1
36.452	466.212	Ntf3_Control_Embryo_1	3	ctrl	1
45.890	455.432	Ntf3_Control_Embryo_1	3	ctrl	1
53.369	383.803	Ntf3_Control_Embryo_1	3	ctrl	1
58.055	400.679	Ntf3_Control_Embryo_1	3	ctrl	1
60.313	369.500	Ntf3_Control_Embryo_1	3	ctrl	1
63.050	333.182	Ntf3_Control_Embryo_1	3	ctrl	1
71.151	349.757	Ntf3_Control_Embryo_1	3	ctrl	1
72.528	376.364	Ntf3_Control_Embryo_1	3	ctrl	1
76.901	370.644	Ntf3_Control_Embryo_1	3	ctrl	1
77.841	436.799	Ntf3_Control_Embryo_1	3	ctrl	1
71.303	414.895	Ntf3_Control_Embryo_1	3	ctrl	1
72.110	465.508	Ntf3_Control_Embryo_1	3	ctrl	1
81.245	519.047	Ntf3_Control_Embryo_1	3	ctrl	1
81.391	541.097	Ntf3_Control_Embryo_1	3	ctrl	1
74.244	541.341	Ntf3_Control_Embryo_1	3	ctrl	1
61.643	486.359	Ntf3_Control_Embryo_1	3	ctrl	1
59.826	547.133	Ntf3_Control_Embryo_1	3	ctrl	1
58.727	572.128	Ntf3_Control_Embryo_1	3	ctrl	1
50.912	501.176	Ntf3_Control_Embryo_1	3	ctrl	1
47.043	535.620	Ntf3_Control_Embryo_1	3	ctrl	1
45.522	543.788	Ntf3_Control_Embryo_1	3	ctrl	1
40.070	526.621	Ntf3_Control_Embryo_1	3	ctrl	1
48.631	558.321	Ntf3_Control_Embryo_1	3	ctrl	1
51.417	582.060	Ntf3_Control_Embryo_1	3	ctrl	1
51.385	597.677	Ntf3_Control_Embryo_1	3	ctrl	1
51.985	680.336	Ntf3_Control_Embryo_1	3	ctrl	1
57.055	639.901	Ntf3_Control_Embryo_1	3	ctrl	1
61.088	622.596	Ntf3_Control_Embryo_1	3	ctrl	1
64.151	644.485	Ntf3_Control_Embryo_1	3	ctrl	1
64.084	750.473	Ntf3_Control_Embryo_1	3	ctrl	1
61.302	733.044	Ntf3_Control_Embryo_1	3	ctrl	1
58.494	778.810	Ntf3_Control_Embryo_1	3	ctrl	1
57.922	670.343	Ntf3_Control_Embryo_1	3	ctrl	1
